id,label,book_id,book_title,book_type,page,num_images,image_labels,image_iiif
5b86f297-e02e-428f-82f3-1c756b2dcddd/pp-140-141-insertion-a-recto,La Pensée sauvage. pp. 140-141 Insertion A,https://derridas-margins.princeton.edu/titles/117/,La pensée sauvage,Book,pp. 140-141,2,recto;verso,"https://derridas-margins.princeton.edu/library/levi-strauss-la-pensee-sauvage-1962/gallery/images/pp-140-141-insertion-a-recto/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/levi-strauss-la-pensee-sauvage-1962/gallery/images/pp-140-141-insertion-a-verso/iiif/full/500,/0/default.jpg"
d5b6c0fb-cb10-473f-8063-bffe3f9c6a4e/pp-348-349-insertion-a-recto,Edmund Husserl. Idées directrices pour une phénoménologie et une philosophie phénoménologique pures. Introduction générale à la phénoménologie pure. pp. 348-349 Insertion A,https://derridas-margins.princeton.edu/titles/112/,Idées I,Book,pp. 348-349,2,recto;verso,"https://derridas-margins.princeton.edu/library/husserl-ideen-zu-einer-reinen-phanomenologie-und-phanomenologischen-philosophie-erstes-1950/gallery/images/pp-348-349-insertion-a-recto/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/husserl-ideen-zu-einer-reinen-phanomenologie-und-phanomenologischen-philosophie-erstes-1950/gallery/images/pp-348-349-insertion-a-verso/iiif/full/500,/0/default.jpg"
111f41c5-bc8e-4b96-b59a-74297eb4e9ab/pp-68-69-insertion-b-recto,"Derrida, Jacques. L'Origine de la géométrie. pp. 68-69 Insertion B",https://derridas-margins.princeton.edu/titles/96/,L'origine de la géométrie,Book,pp. 68-69,2,recto;verso,"https://derridas-margins.princeton.edu/library/husserl-der-ursprung-der-geometrie-als-intentional-historisches-problem-1962-B/gallery/images/pp-68-69-insertion-b-recto/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/husserl-der-ursprung-der-geometrie-als-intentional-historisches-problem-1962-B/gallery/images/pp-68-69-insertion-b-verso/iiif/full/500,/0/default.jpg"
111f41c5-bc8e-4b96-b59a-74297eb4e9ab/inside-front-cover-half-title-insertion-b-recto,"Derrida, Jacques. L'Origine de la géométrie. Inside front cover - half-title Insertion B",https://derridas-margins.princeton.edu/titles/96/,L'origine de la géométrie,Book,Inside front cover - half-title,2,recto;verso,"https://derridas-margins.princeton.edu/library/husserl-der-ursprung-der-geometrie-als-intentional-historisches-problem-1962-B/gallery/images/inside-front-cover-half-title-insertion-b-recto/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/husserl-der-ursprung-der-geometrie-als-intentional-historisches-problem-1962-B/gallery/images/inside-front-cover-half-title-insertion-b-verso/iiif/full/500,/0/default.jpg"
fd0c493c-d3ac-4daa-80a1-e591bb4458f5/pp-286-287-insertion-a-recto,"G. W. F. Hegel. La phénoménologie de l'esprit , Tome II. pp. 286-287 Insertion A",https://derridas-margins.princeton.edu/titles/127/,La Phénoménologie de l'esprit,Book,pp. 286-287,2,recto;verso,"https://derridas-margins.princeton.edu/library/hegel-phanomenologie-des-geistes-1947/gallery/images/pp-286-287-insertion-a-recto/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/hegel-phanomenologie-des-geistes-1947/gallery/images/pp-286-287-insertion-a-verso/iiif/full/500,/0/default.jpg"
85d13203-3805-4314-a20e-d2dde23d0863/pp-inside-front-cover-front-flyleaf-1-recto-insertion-a-recto,Edmund Husserl. Husserliana (Band VI) : Die Krisis der europäischen Wissenschaften und die Transzendentale Phänomenologie. pp. Inside front cover - Front flyleaf 1 recto Insertion A,https://derridas-margins.princeton.edu/titles/113/,Die Krisis der europäischen Wissenschaften und die transzendentale Phänomenologie: Eine Einleitung in die phänomenologische Philosophie,Book,pp. Inside front cover - Front flyleaf 1 recto,2,recto;verso,"https://derridas-margins.princeton.edu/library/husserl-die-krisis-der-europaischen-wissenschaften-und-die-transzendentale-phanomenologie-1954/gallery/images/pp-inside-front-cover-front-flyleaf-1-recto-insertion-a-recto/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/husserl-die-krisis-der-europaischen-wissenschaften-und-die-transzendentale-phanomenologie-1954/gallery/images/pp-inside-front-cover-front-flyleaf-1-recto-insertion-a-verso/iiif/full/500,/0/default.jpg"
dcffcc26-05c9-47eb-8bb7-e1adf4812a38/pp-222-223-insertion-a-verso,Martin Heidegger. Being and Time. pp. 222-223 Insertion A,https://derridas-margins.princeton.edu/titles/99/,Being and Time,Book,pp. 222-223,2,verso;recto,"https://derridas-margins.princeton.edu/library/heidegger-sein-und-zeit-1962/gallery/images/pp-222-223-insertion-a-verso/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/heidegger-sein-und-zeit-1962/gallery/images/pp-222-223-insertion-a-recto/iiif/full/500,/0/default.jpg"
5b86f297-e02e-428f-82f3-1c756b2dcddd/pp-20-21-insertion-a-recto,La Pensée sauvage. pp. 20-21 Insertion A,https://derridas-margins.princeton.edu/titles/117/,La pensée sauvage,Book,pp. 20-21,2,recto;verso,"https://derridas-margins.princeton.edu/library/levi-strauss-la-pensee-sauvage-1962/gallery/images/pp-20-21-insertion-a-recto/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/levi-strauss-la-pensee-sauvage-1962/gallery/images/pp-20-21-insertion-a-verso/iiif/full/500,/0/default.jpg"
fd0c493c-d3ac-4daa-80a1-e591bb4458f5/pp-244-245-insertion-a-recto,"G. W. F. Hegel. La phénoménologie de l'esprit , Tome II. pp. 244-245 Insertion A",https://derridas-margins.princeton.edu/titles/127/,La Phénoménologie de l'esprit,Book,pp. 244-245,2,recto;verso,"https://derridas-margins.princeton.edu/library/hegel-phanomenologie-des-geistes-1947/gallery/images/pp-244-245-insertion-a-recto/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/hegel-phanomenologie-des-geistes-1947/gallery/images/pp-244-245-insertion-a-verso/iiif/full/500,/0/default.jpg"
711a6d94-cbcc-4c54-b81b-fba96fd61623/pp-4-5-insertion-a-verso,Aristote. Organon : I. Catégories ; II. De l'Interprétation. pp. 4-5 Insertion A,https://derridas-margins.princeton.edu/titles/125/,"Organon: Catégories, De L'interprétation",Book,pp. 4-5,2,verso;recto,"https://derridas-margins.princeton.edu/library/aristotle-organon-categories-de-linterpretation-1959/gallery/images/pp-4-5-insertion-a-verso/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/aristotle-organon-categories-de-linterpretation-1959/gallery/images/pp-4-5-insertion-a-recto/iiif/full/500,/0/default.jpg"
